"BehaviorSpace results (NetLogo 6.0.3)"
"Wealth Distribution.nlogo"
"experiment"
"05/26/2021 20:29:51:540 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"num-people","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250"
"life-expectancy-max","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83"
"metabolism-max","3","3","3","3","3","12","12","12","12","12","25","25","25","25","25"
"grain-growth-interval","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"percent-best-land","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"max-vision","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"life-expectancy-min","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"num-grain-grown","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"[reporter]","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5"
"[final]","0.47400707287378957","0.47859822309970385","0.4358578949068243","0.45028654250308037","0.4842926445897189","0.4713377693561892","0.5383735626630591","0.5153940367218028","0.5168815118848944","0.5002222565847121","0.5237323406235453","0.542317503099564","0.5713916366180508","0.5359429247928221","0.5169479391482863"
"[min]","0.212923214020496","0.23434173380599427","0.23064245810055883","0.22064579349904406","0.2508354935194417","0.24034503549547792","0.27058504098360636","0.2590717317949277","0.2676166037735849","0.2659649122807019","0.25878135888501747","0.2620160356347439","0.22685427974947825","0.22873475324675324","0.23795180722891557"
"[max]","0.4957074078669809","0.48816718019356947","0.5133278326638441","0.49693819016205354","0.5259277478862417","0.5299638501569139","0.5571637824756861","0.5617852916314453","0.5673271804783765","0.552890577507599","0.5712076937303495","0.5670669793047203","0.5741086989992304","0.5554667994026881","0.5851040782333027"
"[mean]","0.4416685584678268","0.43923483298098553","0.43824404499045344","0.43992278867732365","0.458538142349742","0.48700184932868557","0.5028333031157592","0.49616068228440374","0.4976358780928138","0.4975509719412449","0.5127147953850473","0.5096933921292525","0.5107795495127544","0.503892172523686","0.5133239155584048"
"[steps]","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400"

"[all run data]","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5"
,"0.2948880151448959","0.3095073149105956","0.30977965335342905","0.29797576115873475","0.3254685687411821","0.28052399086062474","0.27058504098360636","0.2850842906931714","0.2759002012072434","0.27169159836065576","0.25878135888501747","0.2620160356347439","0.22685427974947825","0.22873475324675324","0.23795180722891557"
,"0.2383692631087236","0.27226614192596243","0.26933056336306993","0.2679950629474204","0.28991021671826656","0.25609660916121374","0.27571645074553913","0.26574773249486033","0.2676166037735849","0.2659649122807019","0.26863099408141083","0.2960366785532349","0.25621905110379334","0.24294184938036228","0.2618842659014826"
,"0.2207476135929743","0.25438368336025863","0.25048515947278405","0.25107780743173896","0.27717631917631924","0.24176971778087772","0.2823898973954225","0.2590717317949277","0.2748793809740557","0.2778550168026883","0.2952542035122678","0.31912192622950825","0.3020864770021307","0.2858856275303643","0.2972900347050075"
,"0.2187291891443273","0.2464144424289541","0.24921060952046367","0.24401187150838","0.2604775904049058","0.24034503549547792","0.2983771065182828","0.264338795656466","0.27818768085985957","0.2858700839593461","0.33438723926380387","0.3288757793764989","0.3352000000000006","0.3277422771403354","0.31201473909425886"
,"0.212923214020496","0.24119384043952638","0.23064245810055883","0.2359361865316766","0.2516085933824684","0.25395444232689013","0.3031911911911911","0.27712911810590063","0.29130579150579167","0.3007084619478447","0.34178043178686257","0.3368413080895009","0.33320827144978865","0.35159332613131694","0.3479886939112002"
,"0.2129418139944455","0.2373524756635619","0.2347712045616538","0.22882100105005238","0.2508354935194417","0.2658444672833163","0.31524117132016743","0.28905241450421065","0.3023348682998709","0.3224357307611659","0.351343949784959","0.34731671621312615","0.33461789158629884","0.33461854989547796","0.3567788254004314"
,"0.21718075356415487","0.23434173380599427","0.23248780487804882","0.22323127202819593","0.2557055884899756","0.2907785803237857","0.338206373292868","0.31460127645280467","0.3105888667647825","0.3412275479831674","0.37096313154301314","0.3602140560404229","0.343590001091584","0.3402925566343042","0.3449595872742906"
,"0.22993664940383007","0.2370788065210705","0.23679714946552488","0.22064579349904406","0.2534715090020417","0.30066151719651996","0.34065200799563866","0.32937902052691126","0.3191630226951533","0.36003361344537826","0.35991437308868485","0.3768570131638675","0.35937298234210824","0.3600837563451779","0.36413850996852015"
,"0.24016889944039355","0.23981666279879327","0.24076262746027982","0.22588488807011667","0.25497715412269534","0.3129449796958358","0.34185644400960624","0.3475285579047017","0.3377193348863365","0.3733828117430484","0.3668926976212739","0.37307490676611615","0.37600042721349997","0.3606270841805611","0.37386246360807146"
,"0.24145923478631573","0.2531536950788396","0.24839077986067856","0.23864568951677645","0.25853318090260763","0.3201597302061778","0.34715782135076256","0.35054243625214987","0.35587546933667086","0.380588845899783","0.3681208","0.3911803896920175","0.3765717788903645","0.38912272272272275","0.37400925568839205"
,"0.24259609692469788","0.25967879654642717","0.26326610985120874","0.2388850412723978","0.267199710489583","0.3308751014385836","0.3654578666207136","0.36826884147673505","0.3630227013894158","0.40564841284573994","0.37889273895269626","0.38372948388372535","0.405337834986284","0.40161761030472","0.4005991871492162"
